,location,food,price,time,vegan,vegetarian,gluten,dairy,eggs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
,Davis Cafe,Ultimate Bacon & Egg Bagel,5.89,B,N,N,N,Y,Y,enriched wheat flour (wheat flour,malted barley flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),water,salt,sugar,yeast,fermented rye flour,yellow cornmeal,wheat gluten,calcium propionate (preservative),modified cornstarch,enzymes (dough conditioner),sesame flour,bacon cured with water,natural smoke flavor,sodium phosphate,sodium erythorbate,sodium nitrite,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Ultimate Bacon & Egg Biscuit,5.89,B,N,N,N,Y,Y,unbleached wheat flour,cultured buttermilk (skim milk,nonfat dry milk,cultures added),water,butter (sweet cream,natural flavor),palm oil,contains less than 2%: baking soda,salt,sugar,sodium acid pyrophosphate,sodium aluminum phosphate,monocalcium phosphate,soybean oil,wheat starch,natural flavor,bacon cured with water,natural smoke flavor,sodium phosphate,sodium erythorbate,sodium nitrite,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Ultimate Egg & Cheese Bagel,5.89,B,N,Y,N,Y,Y,enriched wheat flour (wheat flour,malted barley flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),water,salt,sugar,yeast,fermented rye flour,yellow cornmeal,wheat gluten,calcium propionate (preservative),modified cornstarch,enzymes (dough conditioner),sesame flour,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Ultimate Egg & Cheese Biscuit,5.89,B,N,Y,N,Y,Y,unbleached wheat flour,cultured buttermilk (skim milk,nonfat dry milk,cultures added),water,butter (sweet cream,natural flavor),palm oil,contains less than 2%: baking soda,salt,sugar,sodium acid pyrophosphate,sodium aluminum phosphate,monocalcium phosphate,soybean oil,wheat starch,natural flavor,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Ultimate Bacon & Egg & Cheese Bagel,5.89,B,N,N,N,Y,Y,enriched wheat flour (wheat flour,malted barley flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),water,salt,sugar,yeast,fermented rye flour,yellow cornmeal,wheat gluten,calcium propionate (preservative),modified cornstarch,enzymes (dough conditioner),sesame flour,bacon cured with water,natural smoke flavor,sodium phosphate,sodium erythorbate,sodium nitrite,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Ultimate Bacon & Cheese Biscuit,5.89,B,N,N,N,Y,Y,unbleached wheat flour,cultured buttermilk (skim milk,nonfat dry milk,cultures added),water,butter (sweet cream,natural flavor),palm oil,contains less than 2%: baking soda,salt,sugar,sodium acid pyrophosphate,sodium aluminum phosphate,monocalcium phosphate,soybean oil,wheat starch,natural flavor,bacon cured with water,natural smoke flavor,sodium phosphate,sodium erythorbate,sodium nitrite,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Ultimate Turkey Sausage & Egg & Cheese Bagel,5.89,B,N,N,N,Y,Y,enriched wheat flour (wheat flour,malted barley flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),water,salt,sugar,yeast,fermented rye flour,yellow cornmeal,wheat gluten,calcium propionate (preservative),modified cornstarch,enzymes (dough conditioner),sesame flour,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,precooked tky sausage 1.5 oz: ingredients: turkey,contains 2 or less seasoning salt,spices,dextrose,natural flavor,bha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Ultimate Turkey Sausage & Egg & Cheese Biscuit,5.89,B,N,N,N,Y,Y,unbleached wheat flour,cultured buttermilk (skim milk,nonfat dry milk,cultures added),water,butter (sweet cream,natural flavor),palm oil,contains less than 2%: baking soda,salt,sugar,sodium acid pyrophosphate,sodium aluminum phosphate,monocalcium phosphate,soybean oil,wheat starch,natural flavor,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,precooked tky sausage 1.5 oz: ingredients: turkey,contains 2 or less seasoning salt,spices,dextrose,bha,bht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Plain Bagel,2.49,B,Y,Y,Y,T,T,enriched wheat flour (wheat flour,malted barley flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),water,salt,sugar,yeast,fermented rye flour,yellow cornmeal,wheat gluten,calcium propionate (preservative),modified cornstarch,enzymes (dough conditioner),sesame flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Plain Buttermilk Biscuit,2.49,B,N,N,N,Y,T,unbleached wheat flour,cultured buttermilk (skim milk,nonfat dry milk,cultures added),water,butter (sweet cream,natural flavor),palm oil,contains less than 2%: baking soda,salt,sugar,sodium acid pyrophosphate,sodium aluminum phosphate,monocalcium phosphate,soybean oil,wheat starch,natural flavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,French Toast Sticks,3.89,B,Y,Y,N,N,N, bread enriched wheat flour [wheat flour,malted barley flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid],water,sugar,yeast,yellow corn flour,salt,soybean oil,wheat gluten,grain vinegar,glyceryl monooleate,soy lecithin,turmeric [color],paprika extract [color],polysorbate 60,polysorbate 80,ascorbic acid,enzymes,cultured wheat flour,enriched bleached wheat flour wheat flour,folic acid,enriched wheat flour wheat flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Waffle Sticks,3.89,B,N,N,N,Y,Y,enriched wheat flour (bleached wheat flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),water,sugar,soybean and/or canola oil,eggs,less than 2% of: leavening (sodium bicarbonate,sodium aluminum phosphate,monocalcium phosphate),nonfat milk,salt,soy lecithin,beta carotene (color),natural flavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Southside Flatbread,11.39,L;D,N,N,C,Y,Y,enriched wheat flour wheat flour,niacin,reduced iron,ascorbic acid added as dough conditioner,thiamine mononitrate,riboflavin,enzyme,folic acid,water,soybean and/or canola oil,cultured wheat flour,salt,sugar,dried sourdough wheat flour,rye flour,yeast,ascorbic acid,amylase,xylanase,vegetable mono- and diglycerides,inactive yeast,extra virgin olive oil,durum wheat semolina,diced chicken,bacon,shredded mozzarella cheese,cheddar cheese,diced tomatoes,arugula,and chipotle sauce,tomato puree water,tomato paste,soybean oil,distilled vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Buffalo Flatbread,11.39,L;D,N,N,C,Y,T,enriched wheat flour wheat flour,niacin,reduced iron,ascorbic acid added as dough conditioner,thiamine mononitrate,riboflavin,enzyme,folic acid,water,soybean and/or canola oil,cultured wheat flour,salt,sugar,dried sourdough wheat flour,rye flour,yeast,ascorbic acid,amylase,xylanase,vegetable mono- and diglycerides,inactive yeast,extra virgin olive oil,durum wheat semolina,diced chicken,buffalo sauce,shredded mozzarella, blue cheese (pasteurized milk,cheese cultures,enzymes,penicillium roqueforti),powdered cellulose (to prevent caking),natamycin (a natural mold inhibitor),green onion chives,ranch dressing,distilled vinegar,aged cayenne red peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Simply Pepperoni Flatbread,11.39,L;D,N,N,C,Y,T,enriched wheat flour wheat flour,niacin,reduced iron,ascorbic acid added as dough conditioner,thiamine mononitrate,riboflavin,enzyme,folic acid,water,soybean and/or canola oil,cultured wheat flour,salt,sugar,dried sourdough wheat flour,rye flour,yeast,ascorbic acid,amylase,xylanase,vegetable mono- and diglycerides,inactive yeast,extra virgin olive oil,durum wheat semolina,pizza sauce,mozzarella cheese,ground chicken,beef,spices,dextrose,lactic acid starter culture,oleoresin of paprika,sodium ascorbate,flavoring,sodium nitrite,bha,bht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Margherita Flatbread,11.39,L;D,N,Y,C,Y,T,enriched wheat flour wheat flour,niacin,reduced iron,ascorbic acid added as dough conditioner,thiamine mononitrate,riboflavin,enzyme,folic acid,water,soybean and/or canola oil,cultured wheat flour,salt,sugar,dried sourdough wheat flour,rye flour,yeast,ascorbic acid,amylase,xylanase,vegetable mono- and diglycerides,inactive yeast,extra virgin olive oil,durum wheat semolina,pizza sauce,mozzarella cheese,basil,and arugula,tomatoes,sea salt,dried leaf basil,pasteurized milk,vinegar,enzymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Beef Barley Soup,NULL,L;D,N,N,N,N,N,water,tomato puree (water,tomato paste),beef stock,potatoes,seasoned beef product (beef,modified cornstarch,salt,sodium phosphate),carrots,green beans,celery,diced tomatoes in tomato juice,barley,corn,peas,onions,modified food starch,sugar,beef fat,yeast extract,bleached enriched flour (wheat flour,wheat starch,niacin,ferrous sulfate,thiamine mononitrate,riboflavin,folic acid),maltodextrin,potato starch,flavoring,hydrolyzed protein (soy,wheat),burgundy wine,spices,caramel color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
